,ubigeo
1143,0103100001
1144,0103100002
1145,0103100003
1146,0103100004
1147,0103100005
1148,0103100006
1149,0103100007
1150,0103100008
1151,0103100009
1152,0103100010
1153,0103100011
1154,0103100012
1155,0103100013
1156,0103110001
1157,0103110002
1158,0103110003
1159,0103110004
1160,0103110005
1161,0103110006
1162,0103110007
1163,0103110008
1164,0103110009
1165,0103110010
1166,0103110011
1167,0103110012
1168,0103110013
1169,0103110014
1170,0103120001
1171,0103120002
1172,0103120003
1173,0103120004
1174,0103120005
1175,0103120006
1176,0103120007
1177,0103120008
1178,0103120009
1179,0103120010
1180,0103120011
1181,0103120012
1182,0103120013
1183,0103120014
1184,0103120015
1185,0103120016
1186,0103120017
1187,0103120018
1188,0103120019
1189,0103120020
1190,0103120021
1191,0103120022
1192,0103120023
1193,0103120024
1194,0103120025
1195,0103120026
1196,0103120027
1197,0103120028
1198,0103120029
1199,0103120030
1200,0103120031
1201,0103120032
1202,0103120033
1203,0103120034
1204,0103120035
1205,0103120036
1206,0103120037
1207,0103120038
1208,0103120039
1209,0103120040
1210,0103120041
1211,0103120042
1212,0103120043
1213,0103120044
1214,0103120045
1215,0103120046
1216,0103120047
1217,0104010001
1218,0104010002
1219,0104010003
1220,0104010004
1221,0104010005
1222,0104010006
1223,0104010007
1224,0104010008
1225,0104010009
1226,0104010010
1227,0104010011
1228,0104010012
1229,0104010013
1230,0104010014
1231,0104010015
1232,0104010016
1233,0104010017
1234,0104010018
1235,0104010019
1236,0104010020
1237,0104010021
1238,0104010022
1239,0104010023
1240,0104010024
1241,0104010025
1242,0104010026
1243,0104010027
1244,0104010028
1245,0104010029
1246,0104010030
1247,0104010031
1248,0104010032
1249,0104010033
1250,0104010034
1251,0104010035
1252,0104010036
1253,0104010037
1254,0104010038
1255,0104010039
1256,0104010040
1257,0104010041
1258,0104010042
1259,0104010043
1260,0104010044
1261,0104010045
1262,0104010046
1263,0104010047
1264,0104010048
1265,0104010049
1266,0104010050
1267,0104010051
1268,0104010052
1269,0104010053
1270,0104010054
1271,0104010055
1272,0104010056
1273,0104010057
1274,0104010058
1275,0104010059
1276,0104010060
1277,0104010061
1278,0104010062
1279,0104010063
1280,0104010064
1281,0104010065
1282,0104010066
1283,0104010067
1284,0104010068
1285,0104010069
1286,0104010070
1287,0104010071
1288,0104010072
1289,0104010073
1290,0104010074
1291,0104010075
1292,0104010076
1293,0104010077
1294,0104010078
1295,0104010079
1296,0104010080
1297,0104010081
1298,0104010082
1299,0104010083
1300,0104010084
1301,0104010085
1302,0104010086
1303,0104010087
1304,0104010088
1305,0104010089
1306,0104010090
1307,0104010091
1308,0104010092
1309,0104010093
1310,0104010094
1311,0104010095
1312,0104010096
1313,0104010097
1314,0104010098
1315,0104010099
1316,0104010100
1317,0104010101
1318,0104010102
1319,0104010103
1320,0104010104
1321,0104010105
1322,0104010106
1323,0104010107
1324,0104010108
1325,0104010109
1326,0104010110
1327,0104010111
1328,0104010112
1329,0104010113
1330,0104010114
1331,0104010115
1332,0104010116
1333,0104010117
1334,0104010118
1335,0104010119
1336,0104010120
1337,0104010121
1338,0104010122
1339,0104010123
1340,0104010124
1341,0104010125
1342,0104010126
1343,0104010127
1344,0104010128
1345,0104010129
1346,0104010130
1347,0104010131
1348,0104020001
1349,0104020002
1350,0104020003
1351,0104020004
1352,0104020005
1353,0104020006
1354,0104020007
1355,0104020008
1356,0104020009
1357,0104020010
1358,0104020011
1359,0104020012
1360,0104020013
1361,0104020014
1362,0104020015
1363,0104020016
1364,0104020017
1365,0104020018
1366,0104020019
1367,0104020020
1368,0104020021
1369,0104020022
1370,0104020023
1371,0104020024
1372,0104020025
1373,0104020026
1374,0104020027
1375,0104020028
1376,0104020029
1377,0104020030
1378,0104020031
1379,0104020032
1380,0104020033
1381,0104020034
1382,0104020035
1383,0104020036
1384,0104020037
1385,0104020038
1386,0104020039
1387,0104020040
1388,0104020041
1389,0104020042
1390,0104020043
1391,0104020044
1392,0104020045
1393,0104020046
1394,0104020047
1395,0104020048
1396,0104020049
1397,0104020050
1398,0104020051
1399,0104020052
1400,0104020053
1401,0104020054
1402,0104020055
1403,0104020056
1404,0104020057
1405,0104020058
1406,0104020059
1407,0104030001
1408,0104030002
1409,0104030003
1410,0104030004
1411,0104030005
1412,0104030006
1413,0104030007
1414,0104030008
1415,0104030009
1416,0104030010
1417,0104030011
1418,0104030012
1419,0104030013
1420,0104030014
1421,0104030015
1422,0104030016
1423,0104030017
1424,0104030018
1425,0104030019
1426,0104030020
1427,0104030021
1428,0104030022
1429,0104030023
1430,0104030024
1431,0104030025
1432,0104030026
1433,0104030027
1434,0104030028
1435,0104030029
1436,0104030030
1437,0104030031
1438,0104030032
1439,0104030033
1440,0104030034
1441,0104030035
1442,0104030036
1443,0104030037
1444,0104030038
1445,0104030039
1446,0104030040
1447,0104030041
1448,0104030042
1449,0104030043
1450,0104030044
1451,0104030045
1452,0104030046
1453,0104030047
1454,0104030048
1455,0104030049
1456,0104030050
1457,0104030051
1458,0104030052
1459,0104030053
1460,0104030054
1461,0104030055
1462,0104030056
1463,0104030057
1464,0104030058
1465,0104030059
1466,0104030060
1467,0104030061
1468,0104030062
1469,0104030063
1470,0104030064
1471,0105010001
1472,0105010002
1473,0105010003
1474,0105010004
1475,0105010005
1476,0105010006
1477,0105010007
1478,0105010008
1479,0105010009
1480,0105010010
1481,0105010011
1482,0105010012
1483,0105010013
1484,0105010014
1485,0105010015
1486,0105010016
1487,0105010017
1488,0105010018
1489,0105010019
1490,0105010020
1491,0105010021
1492,0105010022
1493,0105010023
1494,0105010024
1495,0105010025
1496,0105010026
1497,0105010027
1498,0105010028
1499,0105010029
1500,0105010030
1501,0105020001
1502,0105020002
1503,0105020003
1504,0105020004
1505,0105020005
1506,0105020006
1507,0105020007
1508,0105020008
1509,0105020009
1510,0105020010
1511,0105020011
1512,0105020012
1513,0105020013
1514,0105020014
1515,0105020015
1516,0105020016
1517,0105020017
1518,0105020018
1519,0105020019
1520,0105020020
1521,0105020021
1522,0105020022
1523,0105020023
1524,0105020024
1525,0105020025
1526,0105020026
1527,0105020027
1528,0105020028
1529,0105020029
1530,0105020030
1531,0105020031
1532,0105020032
1533,0105020033
1534,0105020034
1535,0105020035
1536,0105020036
1537,0105020037
1538,0105020038
1539,0105020039
1540,0105020040
1541,0105020041
1542,0105030001
1543,0105030002
1544,0105030003
1545,0105030004
1546,0105030005
1547,0105030006
1548,0105030007
1549,0105030008
1550,0105030009
1551,0105030010
1552,0105030011
1553,0105030012
1554,0105030013
1555,0105030014
1556,0105030015
1557,0105030016
1558,0105030017
1559,0105030018
1560,0105030019
1561,0105030020
1562,0105030021
1563,0105030022
1564,0105030023
1565,0105030024
1566,0105030025
1567,0105030026
1568,0105030027
1569,0105030028
1570,0105030029
1571,0105030030
1572,0105030031
1573,0105030032
1574,0105030033
1575,0105030034
1576,0105030035
1577,0105030036
1578,0105030037
1579,0105030038
1580,0105030039
1581,0105030040
1582,0105030041
1583,0105030042
1584,0105030043
1585,0105030044
1586,0105030045
1587,0105030046
1588,0105030047
1589,0105030048
1590,0105030049
1591,0105030050
1592,0105030051
1593,0105030052
1594,0105030053
1595,0105030054
1596,0105030055
1597,0105030056
1598,0105030057
1599,0105030058
1600,0105030059
1601,0105030060
1602,0105030061
1603,0105030062
1604,0105030063
1605,0105030064
1606,0105030065
1607,0105030066
1608,0105030067
1609,0105030068
1610,0105030069
1611,0105030070
1612,0105040001
1613,0105040002
1614,0105040003
1615,0105040004
1616,0105040005
1617,0105040006
1618,0105040007
1619,0105040008
1620,0105040009
1621,0105040010
1622,0105040011
1623,0105040012
1624,0105040013
1625,0105040014
1626,0105040015
1627,0105040016
1628,0105040017
1629,0105040018
1630,0105050001
1631,0105050002
1632,0105050003
1633,0105050004
1634,0105050005
1635,0105050006
1636,0105050007
1637,0105050008
1638,0105050009
1639,0105050010
1640,0105050011
1641,0105050012
1642,0105050013
1643,0105050014
1644,0105050015
1645,0105050016
1646,0105050017
1647,0105050018
1648,0105050019
1649,0105060001
1650,0105060002
1651,0105060003
1652,0105060004
1653,0105060005
1654,0105060006
1655,0105060007
1656,0105060008
1657,0105060009
1658,0105060010
1659,0105060011
1660,0105060012
1661,0105060013
1662,0105060014
1663,0105060015
1664,0105060016
1665,0105060017
1666,0105060018
1667,0105060019
1668,0105070001
1669,0105070002
1670,0105070003
1671,0105070004
1672,0105070005
1673,0105070006
1674,0105070007
1675,0105070008
1676,0105070009
1677,0105070010
1678,0105070011
1679,0105070012
1680,0105070013
1681,0105070014
1682,0105070015
1683,0105070016
1684,0105070017
1685,0105070018
1686,0105070019
1687,0105080001
1688,0105080002
1689,0105080003
1690,0105080004
1691,0105080005
1692,0105080006
1693,0105080007
1694,0105080008
1695,0105080009
1696,0105080010
1697,0105090001
1698,0105090002
1699,0105090003
1700,0105090004
1701,0105090005
1702,0105090006
1703,0105090007
1704,0105090008
1705,0105090009
1706,0105090010
1707,0105090011
1708,0105090012
1709,0105090013
1710,0105090014
1711,0105090015
1712,0105090016
1713,0105100001
1714,0105110001
1715,0105110002
1716,0105110003
1717,0105110004
1718,0105110005
1719,0105110006
1720,0105110007
1721,0105110008
1722,0105110009
1723,0105110010
1724,0105110011
1725,0105110012
1726,0105110013
1727,0105110014
1728,0105120001
1729,0105120002
1730,0105120003
1731,0105120004
1732,0105120005
1733,0105120006
1734,0105120007
1735,0105120008
1736,0105120009
1737,0105120010
1738,0105120011
1739,0105120012
1740,0105120013
1741,0105120014
1742,0105120015
1743,0105120016
1744,0105120017
1745,0105120018
1746,0105120019
1747,0105120020
1748,0105120021
1749,0105130001
1750,0105130002
1751,0105130003
1752,0105130004
1753,0105130005
1754,0105130006
1755,0105130007
1756,0105130008
1757,0105130009
1758,0105130010
1759,0105130011
1760,0105130012
1761,0105130013
1762,0105130014
1763,0105130015
1764,0105130016
1765,0105130017
1766,0105130018
1767,0105130019
1768,0105130020
1769,0105130021
1770,0105130022
1771,0105130023
1772,0105130024
1773,0105130025
1774,0105130026
1775,0105130027
1776,0105130028
1777,0105130029
1778,0105130030
1779,0105130031
1780,0105130032
1781,0105140001
1782,0105140002
1783,0105140003
1784,0105140004
1785,0105140005
1786,0105140006
1787,0105140007
1788,0105140008
1789,0105140009
1790,0105140010
1791,0105140011
1792,0105140012
1793,0105140013
1794,0105140014
1795,0105140015
1796,0105140016
1797,0105140017
